Customer,Order,PO,OrderDate,CancelDate,ShipDate,UpdateDate,Bol,Ref,Boxes,Value
NEW01701,556680,40171034,2/27/2020,3/22/2020,3/15/2020,3/5/2020,284707,,569,2830.4
NEW01701,556685,40171033,2/27/2020,3/22/2020,3/15/2020,3/5/2020,284707,,794,12249.2
NEW01701,556785,40171036,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284707,,19,199.5
NEW01701,556794,40171035,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284707,,186,2775.2
NEW01701,556681,60171034,2/27/2020,3/22/2020,3/15/2020,3/5/2020,284708,,449,2202.8
NEW01701,556686,60171033,2/27/2020,3/22/2020,3/15/2020,3/5/2020,284708,,581,8964.2
NEW01701,556786,60171036,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284708,,12,126
NEW01701,556795,60171035,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284708,,142,2112
NEW01701,556682,70171034,2/27/2020,3/22/2020,3/15/2020,3/5/2020,284709,,205,878.8
NEW01701,556687,70171033,2/27/2020,3/22/2020,3/15/2020,3/5/2020,284709,,93,1434
NEW01701,556787,70171036,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284709,,5,52.5
NEW01701,556796,70171035,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284709,,48,714.8
NEW01701,556683,80171034,2/27/2020,3/22/2020,3/15/2020,3/5/2020,284710,,297,1274.8
NEW01701,556688,80171033,2/27/2020,3/22/2020,3/15/2020,3/5/2020,284710,,302,4662.2
